metric,group,numerator,denominator,value
invalid_output_rate,all,420,1260,0.3333333333333333
invalid_output_rate_by_prompt_strategy,few_shot,0,420,0.0
invalid_output_rate_by_prompt_strategy,free,420,420,1.0
invalid_output_rate_by_prompt_strategy,strict,0,420,0.0
metamorphic_violation_rate,all,383,1050,0.3647619047619048
violation_rate_by_transformation_type,capitalization,78,210,0.37142857142857144
violation_rate_by_transformation_type,paraphrase,228,630,0.3619047619047619
violation_rate_by_transformation_type,punctuation,77,210,0.36666666666666664
violation_rate_by_prompt_strategy,few_shot,7,350,0.02
violation_rate_by_prompt_strategy,free,350,350,1.0
violation_rate_by_prompt_strategy,strict,26,350,0.07428571428571429
prediction_flip_rate,all,9,700,0.012857142857142857
prediction_flip_rate_by_prompt_strategy,few_shot,7,350,0.02
prediction_flip_rate_by_prompt_strategy,strict,2,350,0.005714285714285714
average_response_time,all,1260,1260,1.3647804884914962
average_response_time_by_prompt_strategy,few_shot,420,420,1.2399808106130443
average_response_time_by_prompt_strategy,free,420,420,1.7099845253191666
average_response_time_by_prompt_strategy,strict,420,420,1.1443761295422779
cost_per_detected_violation,all,366395,460,0.0007965130434782608
cost_per_detected_violation_by_prompt_strategy,few_shot,129011,9,0.014334666666666667
cost_per_detected_violation_by_prompt_strategy,free,157711,420,0.00037550476190476186
cost_per_detected_violation_by_prompt_strategy,strict,79671,31,0.0025700645161290323
