metric,group,numerator,denominator,value
invalid_output_rate,all,0,840,0.0
invalid_output_rate_by_prompt_strategy,few_shot,0,420,0.0
invalid_output_rate_by_prompt_strategy,strict,0,420,0.0
metamorphic_violation_rate,all,53,700,0.07571428571428572
violation_rate_by_transformation_type,capitalization,11,140,0.07857142857142857
violation_rate_by_transformation_type,paraphrase,33,420,0.07857142857142857
violation_rate_by_transformation_type,punctuation,9,140,0.06428571428571428
violation_rate_by_prompt_strategy,few_shot,20,350,0.05714285714285714
violation_rate_by_prompt_strategy,strict,33,350,0.09428571428571429
prediction_flip_rate,all,21,700,0.03
prediction_flip_rate_by_prompt_strategy,few_shot,12,350,0.03428571428571429
prediction_flip_rate_by_prompt_strategy,strict,9,350,0.025714285714285714
average_response_time,all,840,840,1.3300610653571463
average_response_time_by_prompt_strategy,few_shot,420,420,1.457466291190472
average_response_time_by_prompt_strategy,strict,420,420,1.2026558395238205
cost_per_detected_violation,all,205885,62,0.003320741935483871
cost_per_detected_violation_by_prompt_strategy,few_shot,127647,23,0.005549913043478261
cost_per_detected_violation_by_prompt_strategy,strict,78237,39,0.002006102564102564
